,Comentarios,Idioma,TweetPre
5806,voy jajaja llorar sobrina parte jose llamo para saber como estaba,es,jajaja llorar sobrina parte jose llamo saber
5812,toy muy nerviosa,es,nerviosa
5816,soy solo llanto que viste mejor canción despues dia mas triste soy resto que dijiste,es,solo llanto viste mejor cancion despues triste resto dijiste
5817,listado fallecidos que triste que esta lista comorbilidades vuelva jajaja ocupar varias paginas,es,listado fallecidos triste lista comorbilidades vuelva jajaja ocupar varias paginas
5819,preocupado,es,preocupado
5820,ladilla llorar por arrocera,es,ladilla llorar arrechera
5821,hola porque estas triste,es,hola triste
5822,quiero llegar jajaja casa poder llorar jajaja gusto,es,quiero llegar jajaja casa poder llorar jajaja gusto
5827,dice que juzga jajaja las personas con depresion nefasto,es,dice juzga jajaja persona depresion nefasto
5832,cansada leer que pueden creer que jajaja las tenian que estar colegio cansada siii tenias que cantar himno jajaja las got,es,cansada leer pueden creer jajaja tenian colegio cansada siii tenia cantar himno jajaja
5834,tienen todos cansada siempr joden con mismo,es,cansada siempr joden mismo
5835,quiero llorar con toda alma,es,quiero llorar toda alma
5836,alguien apetece una cartilla nocturna huele jajaja noche insomnio otra mas tantas,es,alguien apetece charlilla nocturna huele jajaja noche insomnio tantas
5840,foto triste jajaja,es,foto triste hajjaja
5843,genteeee tia jajaja conocer jajaja chino puede ser jajaja yuki voy jajaja llorar,es,genteee jajaja conocer jajaja chano puede jajaja duki jajaja llorar
5844,comer encebollado lata puso triste hizo extranar ecuador,es,comer encebollado lata puso triste hizo extranar ecuador
5845,esto triste amo,es,triste
5847,despues todo este dia buenisimo malisimo jajaja vez tengo miedo ganas llorar pero hare fausto desde vientre las fuerzas alegria seguir cada dia apesar todo malo,es,despues buenisimo malisimo jajaja miedo ganas llorar hare fausto vientre fuerzas alegria seguir cada apesar malo
5850,joda digo puedo tener otra semana depresiva simplemente voy jajaja ver jajaja harry,es,joda digo puedo tener semana depresiva simplemente jajaja jajaja harry
5857,con ganas concierto harry styles pero con miedo una ansiedad apta con tanta gente,es,ganas concierto harry style miedo ansiedad hpta tanta gente
5858,perra rompe todo compre una lona para pileta cuotas ahi esta lona destrozo ropa destroza estoy cansada que hacer,es,perra rompe compre lona pileta cuotas lona destrozo ropa destroza cansada hacer
5860,como chingan les dijo que viene cansado que despues hablan sigue haciendo preguntas pendejas reportero,es,chingan dijo viene cansado despues hablan sigue haciendo preguntas pendejas reportero
5863,mas triste pues gusto que busque ame jajaja hacer interesante pues que venga,es,triste pues gusto busque jajaja hacer interesante pues venga
5864,por favor una burles tic nervioso por que pueden universidad nacional autonomía mexico,es,favor unam burles nervioso obeden universidad nacional autonoma mexico
5865,neta caga todo mundo pero caga mas que hagan las tristes inventen problemas pra llamar atención jajaja llorar jajaja casa imaginaria,es,neta caga mundo caga hagan tristes inventen problemas llamar atencion jajaja llorar jajaja casa imaginaria
5867,por oir jajaja palo jajaja novia bosnio puesto sonido ambiente radio muy triste,es,jajaja palop jajaja rovira bossio puesto sonido ambiente radio triste
5868,diputado acuso jajaja vicepresidenta deuda que tomo mari,es,diputado acuso jajaja vicepresidenta deuda tomo macri
5869,sra las leyes estan para leerlas derecho admision ningun caso podra ejercer este derecho para restringir acceso manera arbitraria discriminatoria los terminos previstos por articulo ley ponga nerviosa,es,leyes estan leerlas derecho admision ningun caso podra ejercer derecho restringir acceso manera arbitraria discriminatoria terminos previstos articulo ponga nerviosa
5870,demon slayer hecho llorar mas que cualquiera mis,es,demon slayer hecho llorar cualquiera
5873,llorar pasarela,es,llorar pasarela
5879,triste ver casita sin navidad,es,triste casita navidad
5886,tan feo querer llorar poder digo aveces lloras porque junta todo alguna manera tenes que sacar todo que llevas,es,querer llorar poder digo aveces lloras junta alguna manera tenes sacar llevas
5892,que figura pobre conceptos triste,es,figura pobre conceitos triste
5899,pues ando cansado triste con examenes,es,pues ando cansado triste examenes
5901,que estaba triste con esa llamada cambio humor,es,triste llamada cambio humor
5902,triste sentir obligo jajaja los demas jajaja quedarse conmigo,es,triste sentir obligo jajaja demas jajaja quedarse conmigo
5903,ansiedad haciendo ding dong estoy aqui,es,ansiedad haciendo ding dong aqui
5907,tambien empece con ando diarios las dosis mueven ajustan sin excepción siempre medicina causa depresion hipotiroidismo que bueno que dejes puedes pronto encontrar dosis perfecta jajaja cuerpo sentiras mucho mejor,es,tambien empece ando diarios dosis mueven ajustan excepcion siempre medicina causa depresion hipotiroidismo bueno dejes puedes pronto encontrar dosis perfecta jajaja cuerpo sentiras mejor
5908,cuando estoy triste miro este video pasa,es,triste miro video pasa
5909,sueno mas sin cumplir ando bien triste,es,sueno cumplir ando bien triste
5910,cansado jugar con mascota,es,cansado jugar mascota
5913,jajaja dormir horitas porque estoy cansadita llorar por uni,es,jajaja dormir horitas cansadita llorar
5915,creo que necesito volver jajaja estar sola sin novio nada para poder estar bien estoy cansada siempre mismo,es,creo necesito volver jajaja sola novio poder bien cansada siempre mismo
5918,escuchar calamar hace llorar automaticamente,es,escuchar calamaro hace llorar automaticamente
5921,siempre pense que continuación era fly away pero espero ansiosa continuidad viene con rap mejor flyaway bewithme with fly away canciones notify,es,siempre pense continuacion away espero ansiosa continuidad viene mejor flyaway bewithme with away canciones spotify
5922,veo estas fotos dan ganas llorar,es,fotos ganas llorar
5925,que cansada bonita semana,es,cansada bonita semana
5928,raro que rusia ucrania nadie esta preocupado por conflicto entre rusia ucrania,es,raro rusia ucrania nadie preocupado conflicto rusia ucrania
5929,mitad semana doble cansado sobre nanana click ffffsssshh mac,es,mitad semana doble cansado tananana click fffssshh muac
5934,que linda sos para llorar por jugador lol,es,linda llorar jugador
5935,que paja ser tan sensible llorar por todo,es,paja sensible llorar
5936,vengo voy jajaja llorar por que tengo,es,vengo jajaja llorar
5939,habia preocupado que saliera sugerencias,es,habia preocupado saliera sugerencias
5944,calle naka habia colombiano tete peleandose ella pensaba que estaba preocupado pero estaba haciendo mucha gracia era como programa del discovery que hacian recreaciones tiburon blanco hipopotamo tete parce,es,calle naika habia colombiano tete peleandose pensaba preocupado haciendo mucha gracia programa discovery hacian recreaciones tiburon blanco hipopotamo tete parce
5946,spoiler una relación toxica puede generar ansiedad depresion desordenes alimenticios,es,spoiler relacion toxica puede generar ansiedad depresion desordenes alimenticios
5947,alguen quer enamorar jajaja ela desesperada,es,alguem quer namorar jajaja desesperada
5954,veo que tenerlo jajaja gallardo parado lado puso muy nervioso,es,tenerlo jajaja gallardo parado lado puso nervioso
5966,problema del code que realidad code que ves puedes mantener todavia recuerdo gente que recomendaba dreamweaver que hacias una web arrastrando cajitas luego mirabas codigo era para echarse jajaja llorar,es,problema code realidad code puedes mantener todavia recuerdo gente recomendaba dreamweaver hacias arrastrando cajitas luego mirabas codigo echarse jajaja llorar
5968,hay personas que aun comprenden que para quienes tenemos mascotas estas hacen parte familia que triste muerte este perrito fortaleza jajaja sus duenos,es,persona comprenden mascotas hacen parte familia triste muerte perrito fortaleza jajaja duenos
5971,regresar depresion apenas vaya mama presiento diosito ayudame dame fuerza,es,regresar depresion apenas vaya mama presiento diosito ayudame dame fuerza
5973,solamente espero algun dia poder encontrar felicidad merezco sentirme asi tan vacio,es,solamente espero algun poder encontrar felicidad merezco sentirme vacio
5975,verdad que extrano mucho jajaja novio literal toi que pongo jajaja llorar,es,verdad extrano jajaja novio literal pongo jajaja llorar
5977,con algo ahi acorde del drama que estaba viendo que una relación secreta anos dice jajaja ella como que esta cansado deberian terminar imagine algo asi aqui con ellos aunque interesante imaginar trama que hubiera traido,es,acorde drama viendo relacion secreta ano dice jajaja cansado deberian terminar imagine aqui aunque interesante imaginar trama traido
5979,que triste que tengan noticias mas importantes que hablar,es,triste noticias importantes hablar
5980,estoy tan del orto que puse jajaja llorar farmacia bajo presion tuvieron que asistir,es,orto puse jajaja llorar farmacia bajo presion asistir
5983,cansada decirles jajaja mis has dejen enchufado cargador cuando terminan usarlo para ver viejo hace mismo dios exasperan,es,cansada decirles jajaja hnas dejen enchufado cargador terminan usarlo viejo hace mismo dios exasperan
5991,madurar siempre necesario pero tener cortinas lugar puertas triste jajaja,es,madurar siempre necesario tener cortina lugar puertas triste jajaja
5992,creo que jamie escribio pensando como hacernos llorar mas que hace drama,es,creo jamie escribio pensando hacernos llorar hace drama
6002,estoy nerviosa,es,nerviosa
6004,estoy triste porque sigue,es,triste sigue
6005,largo jajaja llorar,es,largo jajaja llorar
6009,que dios resignación consuelo para sobrellevar sus valiosísimas perdidas posición contra contra los malditos desgraciados que enganan jajaja gente desesperada estimado senor buenas noches,es,dios resignacion consuelo sobrellevar valiosisimas perdidas posicion malditos desgraciados enganan jajaja gente desesperada estimado senor buenas noches
6010,como que harrystyles viene jajaja peru voy jajaja llorar,es,harrystyles viene jajaja peru jajaja llorar
6014,triste pone ver las fotos escuela con mis compas pm seguro termino siendo supera nunca mas secundaria,es,triste pone fotos escuela compas seguro termino siendo supera nunca secundaria
6015,quiero estar triste tus tetas,es,quiero triste tetas
6018,despues anos yendo gran parte mis amigos jajaja universidad por tarde comienzo jajaja ver vacio jornada laboral manana con las practicas externas carrera hay vuelta atras,es,despues ano yendo gran parte amigo jajaja universidad tarde comienzo jajaja vacio jornada laboral manana practicas externas carrera vuelta atras
6019,ganas llorar,es,ganas llorar
6020,triste cambiar mis planes como los dias dibujo etc debido por problemas personales los dibujos subiran por semana como los fines semana igual eso ayuda jajaja motivarme mas mejorar algunos dibujos que hice pasado,es,triste cambiar plane dia dibujo debido problemas personales dibujos subiran semana fine semana igual ayuda jajaja motivarme mejorar dibujos hice pasado
6021,realmente dique desesperada agora preciso reglas urgente,es,realmente fiquei desesperada agora preciso freelas urgente
6022,cansado muy cansado,es,cansado cansado
6024,triste salir culpar jajaja los demas ningun momento demostro empatia por los danos ocasionados jajaja flora fauna acaso sabian que paises vecinos anunciaron alerta tsunami acaso tienen criterio propio repsolhaztecargo reposo,es,triste salir culpar jajaja demas ningun momento demostro empatia danos ocasionados jajaja flora fauna acaso sabian paises vecinos anunciaron alerta tsunami acaso criterio propio repsolhaztecargo repsol
6025,les quiero contar jajaja todos que vieron llorar por que este voy jajaja ver jajaja harry,es,quiero contar jajaja vieron llorar jajaja jajaja harry
6027,encontre desahogo estoy triste comprarme algo para estar mejor ultima vez que estuve triste compre una tele por favor pongan triste que llego jajaja fin mes,es,encontre desahogo triste comprarme mejor ultima triste compre tele favor pongan tristre llego jajaja
6031,las interacciones que hubieron hoy han dejado poco triste porque echo menos muchas cosas,es,interacciones dejado triste echo menos muchas cosas
