,Comentarios
5571,@omanderXomaron no es hora de hacernos llorar 😭
5572,"nunca vamos saber o resto da história de EAV, por isso que eu sou triste 🤧"
5573,"é triste né, entrar no tt e no ter nenhuma notificado"
5574,duermo mucho porque así no me siento triste
5575,liv canta hope ur ok y me pongo jajaja llorar es de las mejores canciones pero no tiene el reconocimiento que se merece
5576,Disfruta en #Apple nuestro episodio hablando sobre la #Depresion Y #mercurioretrogrado
5577,"@AlexBareaTV Es que jajaja mí m da algo, que padezco insomnio pero si logro dormir aun sea algo y él me ronca así y me despierta yo creo que me da algo jajaja arde Troya 😖😖😖"
5578,FILTREN LOS NOMBRES DEFINITIVOS POR FAVOOOOOR Que alguien piense en la gente ansiosa 🤕
5579,"La ansiedad que me da ver de nuevo series intentabas como GoT o Greys que sabes qué personajes se van jajaja morir pero no te acordas bien en que momento, ya toy llorando"
5580,Hola vengo jajaja avisar que voy jajaja desactivar la cuenta unos días para descansar de Twitter ya que estoy un poco agotado.
5581,"Cansou de acontecer isso comigo kkkkk mas na verdade era medo de levar uma lámpara dos homofóbicos, isso sim. Triste"
5582,Apaixonada na minha una porél triste que jajaja do dedo minino machuco e ficou sem fazer 🥲
5583,Olha eu te cansada desea minha vida adulta 🙄 🤬
5584,@luanatct amiga te bem preocupada pq te apasionada por ele
5585,no puedo con esta ansiedad marico ayuda por favor solo quiero ver jajaja Harry
5586,"Até ha fico triste que n adaptara jajaja Saga da Fênix, seria tudo"
5587,"Luan está vino com tudo, ansiosa pros lanzamientos"
5588,@maropomo2 Que notícia triste. Meus pésames! E mejoras
5589,estou triste mande abrazo suv
5590,EUslô.venia̷L foi rango hard as 1ᵃˢ palabras E na de proa o rango hard só crecer. Agora... Aos fps precipitados isso é coisa de gente ansiosa afeita super carente em clamar alguém de meu tudo. O HORR😱R É: – como tem gente assim de abestalhado
5591,@Mineducacion @vanedelatorre indignación total e impotencia mi hija de 8 años no jajaja podido iniciar su año escolar por que el colegio liceo nacional de pague no la saca del sima No responden ningún teléfono y ninguna entidad ayuda. triste realidad para los niños en colombia
5592,cansado de tudo
5593,@kiere_llorar Soy estéril
5594,@Zorkingrs16 @sintzzwx Triste mn
5595,@safefordick's account is temporario available because it volantes the Twitter Media Policy. Learn more.
5596,"ande p karl hoje, cansada dos"
5597,ninguém era triste na época do baile do Dj Guga
5598,tuve que bloquear jajaja la q me gusta pq si no mi ansiedad sería peor y no saben lo feo que se siente ska
5599,"no me gusta tener conocidos en mi clase de inglés, me da ansiedad jajaja"
5600,Estoy muy cansado
5601,no sé si estoy triste x algo en específico o es solo el periodo siendo el periodo
5602,@TorcedoDuSCCP triste 😔
5603,aconteceu exatamente isso cm eu tava indo encontrar uma mina desde site no centro dai os guardia me paro dentro do bala e me levo preso ok triste
5604,"@FabriVicco Hay que hacer la gran Ruglio, salir jajaja llorar por todos lados, tirarle unos mangos jajaja la prensa jajaja para que te apoye y de manija. Y alinear jajaja todos detrás del llanto, dirigentes, jugadores, cuerpo técnico, hinchas, prensa partidaria."
5605,@nachomdeo el gobierno preocupado? no me hagas reir
5606,"@SaraAleatoriaa Eu fico muito triste em dizer isso, mas eu acho que quem estrago o RP so os peros (o bando de criança/adolescente mimado que no deiva os screamers ter liberdad com os própios personales deles)."
5607,"La ansiedad que me da cuando en las menciones me aparece alguien hablándome sobre política porque no sé si están cucú de lo suyo con la manita en alto o yo qué sé. En serio, da yuyu que me aparezca un Pokemon facha salvaje y me ataque porque jajaja veces es mejor esquivar jajaja dialogar."
5608,fui falar pro meu va q eu tava medio triste esses dias e ele mando eu parar de ser viado
5609,"Queria muito beber uma cervejinha hoje, mais estou tío cansada que eu vou é editar 😴"
5610,Comprei um liquidificador potente na Americanas e já te ansiosa pra chegar... Ponto alto da vida de um adulto
5611,“Tengo el corazón apretado ”: Lisandra Silva compartió triste noticia jajaja días de revelar el sexo de su bebé
5612,triste: (
5613,@_swlabr dique levemente triste com essa!!!!
5614,"La revista bilboard Japón publicó un artículo sobre #Breath versión japonesa. ""...Esperamos que puedas darte un respiro de lo cansada que puede llegar jajaja ser vida y tomes fuerza para seguir adelante. Queremos que la música de #W24 esté cerca de tu corazón... "" @Band_W24hours"
5615,@_____moi__ Tu ne sais pas à quel point tu me renos heureuse. Tu es le bebé que je préfère de touuuuuus mes bebés. Merci de me topado comme un petit bebé et de me metere des destino animas quand je suis triste. I love you 😭
5616,estoy POR LLORAR por el estrés dios alguien que me traiga comida
5617,Agotado como un tomarla … 🍅 pero fue un gran día … miercoles de
5618,sí llorar
5619,"si alcancé boletos, ahora quiero llorar #LoveOnTour2022"
5620,"Sinceramente, no quero e no aguanto mais, independente de qualquier coisa, eu nem tenho palabras pra expresar o quanto eu te cansada de absolutamente tudo. Qualquer coisa mínima que acontece eu vejo como pretexto pra tentar me matar e nem pra morrer eu tenho competencia"
5621,"Como jornalista deportivo e amante do futbol, seria um JOGAÇO de asistir. Como corredor do São Paulo, fico preocupado hahaha"
5622,estou triste
5623,"Parem de comprar ingresos para o show do Harry Styles, estou picando triste volando jajaja tal, denham sensibilidad"
5624,"é mt triste querer dejar mulher e no ter uma mulher pra tu dejar pq tus so héteros, sério no deseo essa tristeza para ng"
5625,"Vamo de nuevo... Ahora sin llorar, dale?.."
5626,@Hyuksaint75 No puedo con esta ansiedad jaajqjaj
5627,Sé que debo aceptar mis derrotas pero voy jajaja llorar igual si me rechazan en este proyecto XD
5628,"Su noble corcel de seguro quedó agotado después de tanto montarlo. ¿Lo dices en serio? Porque jajaja mí me pasó exactamente lo mismo contigo ese día. Atacaste directamente mi autocontrol y mi corazón, Livanov. Especialmente cuando bailaste conmigo con ese traje tan bonito que »"
5629,voy jajaja dejar de llorar y vuelvo jajaja la medicación si yivo se casa conmigo. y también volvería al psiquiatra
5630,@flormizrachi En 1 año tuvimos más de 200 fotos en el tablero De hurto de mercancía Atrapamos jajaja varios la policía los procesa y ese mismo día salen Sacan la mercancía de sus caja y la dejan vacia 😡 Se llevan la leche de bebe sin pagar Se llevan las botellas de vino y licor más buscado
5631,"@LouiieOtBrave Amg minha me tá horas pensando se eu vou ou no, eu te desesperada"
5632,"sumaria Vc no me segue, te triste SIGAM EUMARIA NO IG"
5633,propongo hacer un grupo d gente con insomnio y ansiedad pa consultarnos mutuamente
5634,con solo pensarte me pongo triste: (
5635,compre o Box de magisterio e nunca fui triste
5636,@o_antagonista Moro está cada dia mais e mais desesperado! Mas nada hará ele ser presidente da república! Pode fazer o pacto que for! Moro TRAÍRA X9 tem zero chance de empacar. Os ANTA fazer o DIABO de para ajudar o Moro TRAÍRA X9. Estão perdiendo seus tempos! Bolsonaro segue líder de
5637,quiero llorar
5638,"Triste, porél."
5639,"toda vez que te chateado vou cocinar, porque pelo menos te triste mas bem alimentada, minha tanta ficou uma delicia, na base da tristeza"
5640,"] Fiorella: estaba parada afuera] Fiorella: esperando que busquen la vendi] Fiorella: y lloraba] Fiorella: la buscaron, vine jajaja mi pieza] Fiorella: y llore] Fiorella: ahora pare un ratito jajaja descansar] Fiorella: pero ya me voy jajaja seguir llorando pq tengo ganas de llorar 😞"
5641,@IvonHenriquez1 @IvonneGanimals @MONYRODRIGUEZOF @margaritavela @GabrielaVarP @andreanimalidad @juliherrerap @PaulinaLaponte @Amparo_Grisales @madelenrod @maomontenegro @DiaAnimales @FAnimalove @murujuy @metanatural @CAMHUILA @MongabayLatam @MinAmbienteCo Así es. Muy triste
5642,eu estou preocupado com o sonido me mandado judios imitando um indiano fallando em inglés
5643,"@JC_C_A Está agotado de todo lo que trabaja el, poca verguenza"
5644,"@vnstnk Quando eu era pequeno aqui em casa se tu demoraste mío no banco jajaja luz caia, eu libro q ficha desesperado, acho que desenvolvió trauma KKKKKKKKKKK"
5645,"oigo Siempre igual.. siempre dando problemas y cortes de Internet, pero eso sí jajaja la hora de cobrar no perdonais un día sinvergüenzas cada vez mas gente esta cansada vais jajaja empezar jajaja caer clientes por vuestra falta de compromiso oigo"
5646,"meu deus, te cansada de me sentir assim"
5647,@kiere_llorar No😔
5648,"@jaoromania Jão, te muito triste por apaga isso 😭😭😭"
5649,@LivrePetista3 gente te picando preocupada te echando as frutas em gerald muito caras e sem cualidades (ou esto verdes ou esto machacadas muito maduras já entregando).
5650,"Instrutor da academia eu já vire, só falta jajaja crush vi pra mim reinar ela KKKKKKKKKKKKK TRISTE"
5651,me está empezando un ataque de ansiedad y lo único que quiero es alcohol
5652,@nathvllya triste né?
5653,"@UnHptaEmpatico Te admiro, no te ha ado ansiedad?"
5654,"@daniluvkoo BAFTA, AÚN NO DEJÓ DE LLORAR"
5655,@janeterraa Hay que aclarar que las donaciones me ponían nerviosa por miedo jajaja que el marron se distraiga y deje de aplastar el botón jajaja
5656,gente aguardo ansiosa pela adaptado de heartstopper na neelix
5657,"yo sinceramente jajaja ls personas que tengo alrededor las agarro las abrazo y derramo con ellas, tipo si pinta llorar, lloramos, o si no, cantamos jajaja todo pulmon 👻"
5658,que pecho de llorar me he metido roll
5659,Se eu tirese ganado um real cada vez q jajaja Luana reclamo que tava cansada nessa viaje eu tava fofa
5660,jajaja to triste dev 🥰🥰🥰🥰
5661,@lucasbpleite Mas é que quarto de crianza minimalista é TRISTE
5662,@CarlosVerareal Falla todo el Sr Presidente @LassoGuillermo se ha dedicado jajaja dialogar con todos y seguir con los mismos que está más preocupado de la vida que tiene que la vida que nos está dando NECESITAMOS UN PRESIDENTE QUE NOS REPRESENTE NO QUEREMOS LIMOSNA
5663,me puse jajaja llorar porque no puedo ni quiero seguir yendo jajaja la facultad pero sí quiero ser psicóloga 👍🏻👍🏻👍🏻👍🏻
5664,"@felipe_ramir @ClaudiaLopez No que tristeza y que le va jajaja pedir jajaja la presidencia que le inyecte capital para mover la alcaldía por que así no se puede, cuanto se robo de Transmilenio, por que no en vano llego jajaja la alcaldía como secretario de movilidad que triste vamos de mal en peor mucho dulce"
5665,Que tristeza Que las universidades BUAP Y UDLAP son atacadas Por el gobierno del estado De Puebla. Y más triste que ocupen Armas y las fuerzas Policiacas @arbaraibar
5666,"@elkabra3 @DalasReview No, La cosa es que le das el contexto que te sale de los huevos me das lastima, feliz triste vida bye de"
5667,La broma de la casa es que mi gato tiene depresión 👁👄👁 jajaja
5668,@angelaacb_ Paula siempre hace llorar con algunos trozos de sus capítulos
5669,@IzquierdaPe Lo triste que está gente vota
5670,jajaja Ivy tá comprando jajaja ficar preocupada com as semelhanças
5671,Estoy muy triste
5672,"Imaginen vivir bajo la sombra de la persona clave de minimo 2 generaciones del Pop, en la música, en el performance y las redes sociales. Las personas abusivas son por defecto desangradas. Britney Spears, siempre será LA Spears. Y ese será su castigo. Triste su caso."
5673,Mí papá: ya estoy yendo jajaja casa Yo: ¿jajaja qué hora llegas Masomenos? Estoy sola y triste no creo que sea la mejor opción en este momento Literal termino en un psiquiátrico
5674,"ansiosa dos, cara, jajaja cassie no percebe que o nate só tá usando ela?"
5675,@Reforma Quiere llorar quiere llorar …
5676,te tío tío tío triste
5677,"@HabboPTBR Fiquei tío triste com jajaja notícia, que os anos conforte jajaja família 😔"
5678,JOELMA DANCE ansiosa pra saber jajaja navidad @Joelma
5679,@volturriez Me deiva triste na mayoria das vezes de
5680,e ele desconcertando se ele no pegar jajaja Maria e ficar atrás das tranquila vai ser triste 🥺
5681,"@mulberrys91 si, triste"
5682,"É triste voce está cerca, e ainda quererme te pintarme de ruim, ainda bem que minha consciencia ta limpia"
5683,"meu tt é só pra eu falar merda and te triste ou and eu te puta, and me manda mg fallando sobre algo q eu poste eu ignoro pq aqui eu sou uma pessoas, p voce eu sou outra."
5684,""" un sobre de catsup no puede hacerte triste "" Mi cerebro: WATCH ME"
5685,Extremamente cansada
5686,"@NavarroParrilla Se acha amiga, tá tranquilo, dique triste pela sua situado mesmo"
5687,yo tenía mucho que no me sentía cansada
5688,estoy triste mándame una foto de tu poto por fa
5689,"22. Eu sou uma me eternamente cansada, sem quita paciencia pra bobagens, com um amor por non sense e histórias que só é rivalizando com o pela comida."
5690,Ainda triste por descubrir que vou ter pf no dia do meu aniversário..
5691,Muito triste
5692,"Sí me las mandaron 🥺🥺🥺🥺🥺🥺 voy jajaja llorar, siento que no las merezco 🥺🥺🥺"
5693,estoy triste voy jajaja ver encanto otra vez ❤️‍🩹
5694,@Levinunesgoat KKKKKKK triste uma coisa desea
5695,@UOLNoticias Triste povo povo triste
5696,@andreporci @coloradomesmo Vai dar ruim!! E eu estou tío preocupada... 🤭🤭🤭🤭
5697,triste
5698,"Me dejaron sin cupo en natación para ir 3 veces y ahora voy jajaja ir 2, estoy triste como pincho que se encuentra el gym cerrado un feriado"
5699,@chaaeluv ESTOY TRISTE
5700,@Catcat35416499 @meip09 Déjala que esta cansada 😡
5701,todos os dias eu me pergunto se deveria desistir. todos os dias eu me pergunto se estou segundo o caminho que Deus escreveu pra mim. eu no sei mais. te cansada. no aguanto mais.
5702,"Hoy me duele hasta la vesícula que me sacaron hace 15 años, estoy agotada mil …. Y apenas voy jajaja la mitad de chamba"
5703,@mf_pa2 La noticia más triste de la vida
5704,Je l ’ ai jamais vu dire un truco intelligent lui et portan je portage les mames iniciales avec lui c ’ est trop triste
5705,cansado? 2+2= saca los tripaloski
5706,"loco, no soy capaz de subir ni un solo dibujo acabado voy jajaja llorar que me pasa por que me da tanta vergüenza"
5707,Senhor te muito cansada. 🥵
5708,"@chavodeltoro Lo triste es que ya se cambio de plataforma y ahora esta jodiendo en Insta, esperemos también lo saquen de ahí."
5709,Lo mala que soy al lol me pone súper triste pero también me hace gracia (jajaja ratos muy cortos)
5710,"@Foro_TV Antes de exigir, que comiencen jajaja dejar de afectar jajaja otros en sus derechos. Cuando les lluevan los trancazos si se ponen jajaja llorar."
5711,"¡Ohhh, Qingxuan! Mira esto... se acerca, completamente asombrada, para admirar el escrito como la obra de arte que es. &#124; &#124; Solicito permiso para llorar y tatuarme esto porque es una preciosidad. 😭❤️😭❤️😭😭😭😭😭😭😭"
5712,Me puse re linda para ir jajaja verle y me dejó plantada jajaja me río para no llorar 🤣🤣🤣🤦🏻‍♀️
